"NUMERO","CONSECUTIVO","CIUDAD","GENERO","EDAD","P1_RANGO_EDAD","LOCALIDAD","ESTRATO","P106","P102","P103","P109","P111","P112","P117","P121","P446","P446_1","P447_1","P447_2","P447_3","P447_4","P447_5","P447_6","P128","P203","P204_A","P204_B","P204_C","P204_D","P204_E","P204_F","P204_G","P204_H","P204_I","P204_J","P204_K","P204_L","P204_M","P204_N","P204_O","P204_P","P204_Q","P204_R","P238_1","P238_2","P238_3","P238_4","P238_5","P238_6","P238_7","P238_8","P238_9","P238_10","P238_11","P238_12","P238_13","P238_14","P238_15","P238_16","P238_17","P238_18","P214_A","P214_B","P214_C","P214_D","P214_E","P214_F","P214_G","P214_H","P214_I","P214_J","P214_K","P214_L","P214_M","P214_N","P214_O","P214_P","P214_Q","P214_R","P206_A","P206_B","P206_C","P206_D","P206_E","P206_F","P206_G","P206_H","P206_I","P206_J","P206_K","P206_L","P206_M","P206_N","P206_O","P206_P","P206_Q","P206_R","P448_A","P448_B","P448_C","P448_D","P448_E","P448_F","P448_G","P448_H","P448_I","P448_J","P448_K","P448_L","P448_M","P448_N","P448_O","P448_P","P448_Q","P448_R","P204_1_1_A","P204_1_1_B","P204_1_1_C","P204_1_1_D","P204_1_1_E","P204_1_1_F","P204_2_2_O","P04_1_1_OTRO","P208_A","P208_B","P208_C","P208_D","P208_E","P208_F","P208_O","P208_OTRO","P207","P230","P230_1","P230_2","P233","P234_A","P234_B","P234_C","P234_D","P234_E","P234_F","P234_G","P234_H","P234_I","P234_J","P234_K","P234_L","P234_M","P234_N","P234_O","P234_P","P234_Q","P234_R","P234_S","P234_T","P234_U","P234_V","P449","P305","P308","P310_1_1","P310_1_2","P310_1_3","P310_1_4","P310_1_5","P310_1_6","P310_1_7","P310_1_8","P310_1_9","P310_1_10","P310_1_11","P310_1_12","P310_1_13","P310_1_14","P310_1_15","P450_A","P450_B","P450_C","P450_D","P450_E","P401_1","P405","P407_A","P407_B","P407_C","P407_1","P412_A","P412_B","P412_C","P412_D","P412_E","P412_F","P417","P418","P421","P444","P2","P6","P3","FEX"
2.37e+13,1009,1,1,20,2,8,2,4,2,2,5,5,8,1,2,2,1,NA,NA,NA,NA,NA,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,3,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,4,1,1,713.356
2.34e+13,1010,1,2,31,4,8,2,4,2,2,1,4,8,8,1,2,6,1,NA,NA,NA,NA,6,4,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,2,NA,2,1,2,2,2,1,2,NA,1,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,3,1,1,1,2,1,3,NA,NA,NA,NA,NA,NA,1,1,4,1,3,5,1,718.834
2.34e+13,1011,1,2,43,6,8,3,4,2,2,2,5,5,8,1,2,4,1,NA,NA,NA,5,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,5,1,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,1,7,1,659.153
2.31e+13,1012,1,2,56,9,18,2,4,2,2,1,5,6,3,1,2,4,1,2,3,4,5,6,4,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,NA,2,1,1,1,2,2,1,20,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,1,1,1123.875
2.32e+13,1013,1,2,59,9,11,3,4,1,2,5,4,6,1,2,2,1,1,NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,3,3,3,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,1,979.773
2.35e+13,1014,1,2,57,9,11,4,4,2,2,5,4,3,26,2,2,1,1,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,6,1,979.773
2.32e+13,1015,1,1,40,6,19,1,4,2,2,7,3,NA,2,2,2,1,NA,NA,NA,NA,NA,6,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,4,3,4,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,7,1,1000.687
2.35e+13,1016,1,1,41,6,14,3,5,2,2,1,5,10,21,1,2,5,NA,2,NA,NA,NA,NA,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,2,NA,1,1,1,1,2,2,2,NA,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,1,1,477.927
2.4e+13,1017,1,2,49,7,9,3,4,1,2,3,2,NA,4,2,1,NA,NA,NA,NA,4,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,4,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,5,3,1,603.895
2.34e+13,1018,1,2,25,3,16,3,4,2,2,3,3,NA,1,1,2,4,NA,NA,NA,NA,NA,6,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,3,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,1,1,979.478
2.33e+13,1019,1,2,26,3,7,2,4,2,2,15,4,8,1,1,2,3,1,NA,3,NA,NA,6,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,7,1,599.503
2.38e+13,1020,1,1,25,3,8,3,4,2,2,4,4,8,1,2,2,1,NA,NA,NA,NA,NA,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,3,5,1,1244.503
2.38e+13,1021,1,1,26,3,15,3,4,2,2,5,5,6,1,2,2,4,NA,NA,NA,NA,NA,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,3,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,4,1,1,638.247
2.32e+13,1022,1,2,26,3,8,2,5,1,2,5,3,NA,21,2,1,NA,NA,NA,NA,NA,5,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,1,795.619
2.32e+13,1023,1,2,39,5,19,1,4,1,2,7,3,NA,2,2,2,4,NA,NA,NA,NA,NA,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3,1,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,1,1,467.044
2.4e+13,1024,1,2,28,3,19,2,4,2,2,2,5,8,1,1,2,1,NA,NA,NA,NA,5,NA,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,NA,2,1,2,2,2,2,2,NA,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,4,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,515.371
2.35e+13,1025,1,2,21,2,10,3,4,1,2,7,3,NA,1,1,2,3,NA,NA,NA,NA,NA,6,7,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,2,NA,2,2,1,2,2,2,1,14,97,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,1,918.704
2.33e+13,1026,1,1,21,2,11,2,4,1,2,3,4,8,1,2,1,NA,NA,NA,NA,NA,NA,6,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,NA,2,2,2,2,1,2,2,NA,97,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,3,1,1,941.76
2.32e+13,1027,1,2,44,6,8,3,4,2,2,7,5,8,21,1,2,6,NA,NA,NA,NA,5,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,3,1,1,659.153
2.33e+13,1028,1,2,21,2,4,3,4,2,2,1,5,8,17,2,2,4,NA,NA,3,NA,NA,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,4,2,1,563.053
2.32e+13,1029,1,2,24,2,8,2,4,1,2,5,5,6,21,1,2,3,NA,NA,NA,NA,NA,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,3,5,1,536.063
2.38e+13,1030,1,1,45,7,2,3,4,1,2,15,4,8,1,2,1,NA,1,NA,NA,NA,NA,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2,3,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,3,1,1,913.391
2.36e+13,1031,1,1,29,3,12,4,4,2,2,2,5,4,1,1,2,1,NA,2,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,4,1,1,1198.152
